Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
298,Théo Maledon,PG,21,CHO,41,4,17.9,2,5.2,0.387,0.6,2,0.277,1.4,3.1,0.457,0.441,1.3,1.6,0.846,0.3,2.3,2.6,3.1,0.7,0.3,1.1,1.2,5.9
299,Sandro Mamukelashvili,C,23,TOT,39,4,14.2,1.9,4.8,0.409,0.6,2.1,0.277,1.4,2.6,0.515,0.47,0.8,1.2,0.711,1.5,2.4,3.9,1.3,0.3,0.3,0.7,1.3,5.3
299,Sandro Mamukelashvili,C,23,MIL,24,0,9,0.8,2.4,0.328,0.3,1.3,0.219,0.5,1.1,0.462,0.388,0.5,0.8,0.667,0.8,1.6,2.3,0.7,0.2,0.2,0.4,0.8,2.4
299,Sandro Mamukelashvili,C,23,SAS,15,4,22.4,3.8,8.5,0.445,1.1,3.4,0.314,2.7,5.1,0.532,0.508,1.3,1.8,0.741,2.7,3.8,6.5,2.3,0.5,0.3,1.2,2,10
300,Terance Mann,SG,26,LAC,78,36,23.2,3.4,6.5,0.517,1,2.5,0.387,2.4,4,0.597,0.59,1.2,1.5,0.793,1,2.5,3.5,2.3,0.5,0.3,1,1.8,8.9
301,Tre Mann,PG,21,OKC,64,4,17.7,2.9,7.5,0.387,1.3,3.9,0.317,1.7,3.6,0.463,0.47,0.6,0.8,0.74,0.4,1.8,2.2,1.7,0.6,0.2,0.9,1.5,7.7
302,Boban Marjanović,C,34,HOU,29,0,5.2,1.2,1.8,0.667,0,0,0,1.2,1.7,0.68,0.667,0.7,0.9,0.769,0.6,1.2,1.8,0.3,0.1,0,0.4,0.3,3
303,Lauri Markkanen,SF,25,UTA,66,66,34.4,8.7,17.3,0.499,3,7.7,0.391,5.6,9.6,0.585,0.586,5.3,6,0.875,2,6.7,8.6,1.9,0.6,0.6,1.9,2.1,25.6
304,Naji Marshall,SF,25,NOP,73,21,23.9,3.3,7.6,0.435,0.9,2.9,0.304,2.4,4.7,0.518,0.494,1.8,2.3,0.788,0.6,3.1,3.7,2.5,0.7,0.2,1.3,1.5,9.3
305,Caleb Martin,PF,27,MIA,67,49,29.6,3.6,7.8,0.467,1.2,3.4,0.364,2.4,4.4,0.546,0.546,1.3,1.6,0.798,1.3,3.6,4.9,1.6,1,0.5,1.1,2.1,9.8
306,Cody Martin,SF,27,CHO,7,0,19.1,2,5.1,0.389,0.4,2,0.214,1.6,3.1,0.5,0.431,0.6,1,0.571,1.1,2.3,3.4,1.6,0.6,0.1,0.3,1.9,5
307,Kenyon Martin Jr.,SF,22,HOU,79,46,27.9,5,8.7,0.57,0.9,2.7,0.318,4.1,6,0.683,0.619,1.9,2.7,0.684,1.5,4,5.5,1.5,0.5,0.4,1.1,1.8,12.7
308,Tyrese Martin,SG,23,ATL,13,0,3.5,0.5,1.2,0.375,0.1,0.4,0.2,0.4,0.8,0.455,0.406,0.2,0.2,1,0.2,0.3,0.5,0,0.1,0,0.1,0.2,1.2
309,Garrison Mathews,SG,26,TOT,52,0,12.7,1.3,3.6,0.362,1.1,3.2,0.351,0.2,0.4,0.45,0.519,0.8,0.9,0.896,0.2,1.1,1.3,0.5,0.5,0.1,0.4,1.2,4.6
309,Garrison Mathews,SG,26,HOU,45,0,13.4,1.3,3.8,0.353,1.2,3.4,0.342,0.2,0.3,0.467,0.509,0.9,1,0.911,0.2,1.2,1.4,0.5,0.5,0.1,0.4,1.2,4.8
309,Garrison Mathews,SG,26,ATL,7,0,8,1.1,2.6,0.444,0.9,1.9,0.462,0.3,0.7,0.4,0.611,0.3,0.4,0.667,0,1,1,0.3,0.1,0,0.1,0.6,3.4
310,Bennedict Mathurin,SF,20,IND,75,14,28.2,5.3,12.1,0.436,1.3,4,0.32,4,8.1,0.493,0.489,4.7,5.7,0.828,1.1,2.9,4,1.4,0.6,0.2,1.8,2,16.6
311,Wesley Matthews,SG,36,MIL,48,0,15.3,1.1,3,0.357,0.7,2.3,0.313,0.3,0.6,0.516,0.479,0.4,0.5,0.875,0.7,1.4,2.1,0.6,0.4,0.3,0.4,1.4,3.3
312,Tyrese Maxey,SG,22,PHI,59,40,33.5,7.4,15.3,0.483,2.7,6.2,0.436,4.7,9.2,0.515,0.571,3.1,3.6,0.845,0.4,2.5,2.9,3.6,0.8,0.1,1.3,2.2,20.6
313,Skylar Mays,SG,25,POR,2,2,30,5.5,8.5,0.647,2,4,0.5,3.5,4.5,0.778,0.765,0.5,0.5,1,0.5,2,2.5,7.5,0.5,0,2,2.5,13.5
314,Miles McBride,PG,22,NYK,61,2,11.8,1.2,3.2,0.359,0.6,2.1,0.302,0.5,1.2,0.458,0.455,0.4,0.7,0.675,0.2,0.6,0.8,1.1,0.6,0.1,0.4,0.9,3.4
315,CJ McCollum,SG,31,NOP,71,71,35.1,7.8,17.9,0.436,2.8,7.3,0.39,5,10.6,0.468,0.515,2.4,3,0.787,0.8,3.5,4.3,5.8,0.9,0.5,2.5,2,20.8
316,T.J. McConnell,PG,30,IND,74,6,20.3,3.7,6.9,0.541,0.3,0.8,0.431,3.4,6.1,0.555,0.566,0.7,0.9,0.846,0.6,2.5,3.1,5.2,1.1,0.1,1.9,1.4,8.5
317,Jaden McDaniels,SF,22,MIN,76,76,30.8,4.7,9.1,0.514,1.3,3.4,0.392,3.4,5.7,0.588,0.588,1.4,1.9,0.741,1.2,2.7,3.9,1.9,0.9,1,1.4,3.5,12.1
318,Jalen McDaniels,SF,25,TOT,76,22,23.8,3.4,7.6,0.452,0.9,2.9,0.321,2.5,4.7,0.532,0.513,1.4,1.7,0.833,0.8,3.6,4.3,1.6,1,0.4,1.2,2.6,9.3
318,Jalen McDaniels,SF,25,CHO,56,21,26.7,3.9,8.8,0.447,1.2,3.6,0.322,2.8,5.2,0.534,0.513,1.6,1.9,0.846,0.8,4,4.8,2,1.2,0.5,1.4,2.8,10.6
318,Jalen McDaniels,SF,25,PHI,20,1,15.9,2.1,4.3,0.477,0.3,1,0.316,1.8,3.4,0.522,0.512,1.1,1.4,0.786,0.8,2.3,3,0.7,0.4,0.2,0.5,2.2,5.5
319,Doug McDermott,SF,31,SAS,63,0,20.8,3.8,8.2,0.461,2,4.7,0.418,1.8,3.5,0.518,0.58,0.8,1.1,0.757,0.4,1.8,2.2,1.4,0.2,0.1,0.9,1.9,10.3
320,JaVale McGee,C,35,DAL,40,7,8.5,1.9,3,0.63,0,0.1,0.25,1.9,2.9,0.643,0.634,0.6,1,0.59,0.8,1.9,2.6,0.3,0.1,0.6,0.9,1.3,4.4
321,Bryce McGowens,SG,20,CHO,43,4,15.9,1.4,3.8,0.372,0.5,1.5,0.333,0.9,2.3,0.398,0.439,1,1.4,0.733,0.4,1.4,1.8,1,0.3,0.1,0.8,1,4.4
322,Rodney McGruder,SG,31,DET,33,12,15.9,1.9,4.6,0.408,1.2,2.9,0.423,0.6,1.7,0.382,0.543,0.5,0.7,0.818,0.6,1.6,2.2,0.8,0.5,0,0.3,1.2,5.5
323,Jordan McLaughlin,PG,26,MIN,41,0,15.6,1.4,3.5,0.415,0.5,1.9,0.289,0.9,1.6,0.561,0.493,0.3,0.3,0.786,0.4,1,1.4,3.3,0.8,0.1,0.8,0.6,3.7
324,De'Anthony Melton,PG,24,PHI,75,57,28.1,3.7,8.6,0.43,2.1,5.3,0.395,1.6,3.3,0.486,0.551,0.9,1.2,0.793,0.9,3.2,4.1,2.6,1.7,0.5,1.4,2.5,10.4
325,Sam Merrill,SG,26,CLE,3,0,3.7,0.3,1.3,0.25,0,1,0,0.3,0.3,1,0.25,0,0,,0,0.3,0.3,0.3,0,0,0,0.7,0.7
326,Chimezie Metu,C,25,SAC,63,0,10.4,1.9,3.3,0.589,0.1,0.6,0.243,1.8,2.7,0.665,0.611,0.7,0.9,0.759,0.7,2.3,3,0.6,0.3,0.3,0.5,1.3,4.7
327,Khris Middleton,SF,31,MIL,32,18,24.8,5.5,12.6,0.439,1.6,5,0.317,3.9,7.6,0.521,0.502,2.9,3.2,0.902,0.9,3.5,4.3,5.1,0.7,0.2,2.2,2.1,15.5
328,Patty Mills,PG,34,BRK,39,1,13.6,2.1,5.1,0.419,1.2,3.2,0.376,0.9,1.9,0.493,0.538,0.5,0.6,0.913,0.2,0.9,1.1,1.4,0.4,0.1,0.7,0.7,6
329,Shake Milton,SG,26,PHI,73,9,20,3,6.3,0.482,0.7,1.9,0.388,2.3,4.4,0.522,0.54,1.3,1.5,0.845,0.5,2,2.5,2.8,0.3,0.2,1.2,1.6,8.1
330,Josh Minott,SF,20,MIN,14,0,6.6,1.3,2.4,0.529,0.1,0.4,0.333,1.1,2,0.571,0.559,0.6,0.6,1,0.4,1.4,1.8,0.3,0.3,0.4,0.2,0.7,3.3
331,Davion Mitchell,PG,24,SAC,77,8,18,2.2,4.9,0.461,0.8,2.4,0.317,1.5,2.5,0.599,0.539,0.3,0.4,0.806,0.2,1.1,1.3,2.3,0.5,0.2,0.8,1.4,5.6
332,Donovan Mitchell,SG,26,CLE,67,67,35.7,9.9,20.6,0.482,3.6,9.3,0.383,6.3,11.2,0.563,0.569,4.6,5.4,0.866,0.9,3.3,4.2,4.4,1.5,0.4,2.6,2.5,28
333,Evan Mobley,PF,21,CLE,77,77,34.6,6.7,12.1,0.556,0.3,1.3,0.21,6.4,10.8,0.598,0.567,2.6,3.9,0.673,2.4,6.7,9.1,2.9,0.8,1.5,1.9,2.8,16.3
334,Isaiah Mobley,PF,23,CLE,11,0,3,0.5,0.9,0.5,0.1,0.3,0.333,0.4,0.6,0.571,0.55,0,0,,0.1,1,1.1,0,0.1,0.1,0,0.2,1
335,Chima Moneke,SF,27,SAC,2,0,4,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0,1,0,1,0,1,0.5,0,0,1,1,1
336,Malik Monk,SG,24,SAC,74,0,22.4,4.6,10.4,0.449,1.9,5.2,0.361,2.8,5.2,0.537,0.539,2.4,2.7,0.891,0.4,2.2,2.6,3.9,0.6,0.3,1.9,1.6,13.6
337,Moses Moody,SG,20,GSW,60,3,12.5,1.5,3.4,0.453,0.7,2.1,0.341,0.8,1.3,0.625,0.557,0.6,0.9,0.692,0.4,1.2,1.6,0.8,0.3,0.1,0.5,0.8,4.4
338,Xavier Moon,SG,28,LAC,3,0,6,0.7,2.7,0.25,0.3,1,0.333,0.3,1.7,0.2,0.313,0,0,,0,1,1,1.7,0,0,0.3,0.3,1.7
339,Wendell Moore Jr.,SG,21,MIN,27,2,5.5,0.6,1.6,0.405,0.1,0.6,0.118,0.6,0.9,0.6,0.429,0.1,0.2,0.8,0.1,0.5,0.6,0.7,0.3,0.2,0.3,0.5,1.5
340,Ja Morant,PG,23,MEM,59,57,32,9.4,20.2,0.463,1.5,5,0.307,7.8,15.2,0.514,0.501,6.2,8.3,0.752,1,4.8,5.8,8.1,1.1,0.3,3.4,1.7,26.5
341,Marcus Morris,PF,33,LAC,65,65,28.1,4.2,9.9,0.426,1.7,4.7,0.364,2.5,5.2,0.484,0.513,1,1.3,0.782,0.4,3.5,4,1.8,0.6,0.3,0.9,2.1,11.2
342,Markieff Morris,PF,33,TOT,33,1,9.7,1.2,2.8,0.413,0.7,1.7,0.411,0.5,1.1,0.417,0.538,0.3,0.3,1,0.4,1.5,1.9,0.8,0.3,0.2,0.5,1.3,3.3
342,Markieff Morris,PF,33,BRK,27,1,10.6,1.2,3,0.402,0.7,1.8,0.408,0.5,1.2,0.394,0.524,0.4,0.4,1,0.5,1.7,2.2,0.9,0.3,0.2,0.5,1.2,3.6
342,Markieff Morris,PF,33,DAL,6,0,5.8,0.8,1.7,0.5,0.5,1.2,0.429,0.3,0.5,0.667,0.65,0,0,,0,0.5,0.5,0.5,0.2,0,0.7,1.5,2.2
343,Monte Morris,PG,27,WAS,62,61,27.3,4,8.3,0.48,1.3,3.3,0.382,2.7,5,0.543,0.555,1,1.2,0.831,0.4,3,3.4,5.3,0.7,0.2,1,1.2,10.3
344,Trey Murphy III,SF,22,NOP,75,61,30.5,4.7,9.9,0.482,2.5,6.2,0.407,2.2,3.7,0.606,0.609,2,2.2,0.909,0.8,2.8,3.6,1.4,1.1,0.6,0.8,1.9,14
345,Dejounte Murray,SG,26,ATL,71,71,36.5,8.3,18,0.46,1.9,5.3,0.348,6.4,12.6,0.508,0.512,2.1,2.6,0.826,0.7,4.6,5.3,6.1,1.5,0.3,2.2,1.5,20.6
346,Jamal Murray,PG,25,DEN,63,63,33.3,7.4,16.3,0.453,2.7,6.7,0.399,4.7,9.6,0.491,0.535,2.8,3.4,0.832,0.7,3.3,4,6.2,1,0.2,2.3,1.6,20.3
347,Keegan Murray,SF,22,SAC,76,74,29.7,4.4,9.7,0.452,2.6,6.2,0.41,1.8,3.5,0.527,0.583,0.8,1.1,0.763,1.1,3.5,4.6,1.2,0.8,0.5,0.8,2,12.1
348,Mike Muscala,C,31,TOT,59,7,14.3,1.9,4.5,0.432,1.2,3.2,0.386,0.7,1.3,0.547,0.57,0.5,0.7,0.78,0.5,2.5,3,0.8,0.3,0.4,0.3,1.6,5.6
348,Mike Muscala,C,31,OKC,43,5,14.5,2.1,4.7,0.438,1.3,3.3,0.394,0.8,1.4,0.541,0.576,0.7,0.9,0.795,0.5,2.6,3.1,0.9,0.3,0.4,0.3,1.6,6.2
348,Mike Muscala,C,31,BOS,16,2,13.9,1.6,3.8,0.41,1.1,2.9,0.362,0.5,0.9,0.571,0.549,0.1,0.1,0.5,0.4,2.3,2.7,0.4,0.3,0.3,0.4,1.4,4.3
349,Svi Mykhailiuk,SF,25,TOT,29,5,12.7,1.9,4.1,0.467,1.1,2.3,0.478,0.8,1.8,0.453,0.6,0.7,1.1,0.645,0.3,0.9,1.2,1.2,0.4,0.1,0.5,0.6,5.7
349,Svi Mykhailiuk,SF,25,NYK,13,0,3.1,0.5,0.9,0.5,0.5,0.8,0.6,0,0.2,0,0.75,0.2,0.4,0.6,0,0.5,0.5,0.1,0.1,0,0.2,0.1,1.6
349,Svi Mykhailiuk,SF,25,CHO,16,5,20.5,3.1,6.8,0.463,1.6,3.6,0.456,1.5,3.2,0.471,0.583,1.1,1.6,0.654,0.6,1.3,1.8,2.1,0.6,0.3,0.8,0.9,8.9
350,Larry Nance Jr.,PF,30,NOP,61,1,21.1,2.9,4.8,0.604,0.2,0.7,0.333,2.7,4.1,0.649,0.628,0.9,1.2,0.693,1.7,3.9,5.5,1.8,0.9,0.6,0.6,2,6.9
351,Andrew Nembhard,SG,23,IND,72,60,27.4,3.7,8.5,0.438,1.3,3.6,0.349,2.5,4.9,0.503,0.511,0.6,0.7,0.792,0.5,2.2,2.6,4.3,0.9,0.2,1.6,2.4,9.3
352,Aaron Nesmith,SF,23,IND,70,57,25,3.4,8.1,0.424,1.6,4.3,0.362,1.9,3.8,0.494,0.52,1.6,1.9,0.833,0.9,2.9,3.8,1.4,0.8,0.4,1.1,3.3,10
353,Raul Neto,PG,30,CLE,46,1,10,1.1,2.1,0.526,0.3,0.8,0.316,0.8,1.2,0.667,0.589,0.5,0.6,0.889,0.2,0.8,0.9,1.4,0.3,0.1,0.3,0.9,3
354,Georges Niang,PF,29,PHI,75,0,19.3,2.8,6.4,0.438,2,4.9,0.399,0.8,1.4,0.574,0.593,0.5,0.6,0.864,0.2,2.1,2.3,1,0.4,0.2,0.7,1.9,8.1
355,Daishen Nix,PG,20,HOU,55,7,16.2,1.5,4.2,0.345,0.7,2.5,0.292,0.7,1.7,0.421,0.431,0.4,0.7,0.667,0.3,1.4,1.8,2.4,0.5,0.1,1.5,1.1,4.1
356,Zeke Nnaji,PF,22,DEN,50,5,13.5,2,3.4,0.576,0.3,1,0.269,1.7,2.4,0.708,0.616,0.8,1.2,0.672,1.2,1.3,2.5,0.3,0.3,0.4,0.5,1.9,5
357,Nerlens Noel,C,28,TOT,17,4,11.5,0.8,2.1,0.361,0.1,0.1,0.5,0.7,2,0.353,0.375,0.5,0.7,0.667,0.6,2.1,2.7,0.6,0.9,0.6,0.8,1.9,2.1
357,Nerlens Noel,C,28,DET,14,3,10.9,0.9,2.1,0.4,0.1,0.1,0.5,0.8,2,0.393,0.417,0.5,0.7,0.7,0.5,2.1,2.6,0.5,0.9,0.6,0.6,1.8,2.3
357,Nerlens Noel,C,28,BRK,3,1,14.3,0.3,2,0.167,0,0,,0.3,2,0.167,0.167,0.3,0.7,0.5,1,2,3,1,1,0.3,1.7,2.3,1
358,Jaylen Nowell,SG,23,MIN,65,2,19.3,4.3,9.6,0.448,1,3.6,0.289,3.3,6,0.542,0.502,1.2,1.5,0.778,0.6,2.1,2.6,2,0.6,0.1,1,1.6,10.8
359,Frank Ntilikina,PG,24,DAL,45,3,11.8,0.9,2.5,0.36,0.3,1.3,0.25,0.6,1.2,0.481,0.425,0.4,0.6,0.704,0.1,1.1,1.3,1.2,0.3,0.1,0.6,1.3,2.6
360,Kendrick Nunn,SG-PG,27,TOT,66,2,13.3,2.6,6.1,0.424,1.1,3.1,0.347,1.5,3,0.503,0.511,0.4,0.5,0.848,0.2,1.2,1.4,1.1,0.4,0.1,0.9,0.9,6.6
360,Kendrick Nunn,SG,27,LAL,39,2,13.5,2.6,6.4,0.406,1.1,3.2,0.325,1.6,3.2,0.488,0.488,0.4,0.5,0.81,0.1,1.3,1.4,0.9,0.3,0.1,0.8,0.9,6.7
360,Kendrick Nunn,PG,27,WAS,27,0,12.9,2.5,5.6,0.453,1.1,2.8,0.382,1.4,2.7,0.527,0.55,0.4,0.4,0.917,0.3,1.2,1.4,1.5,0.5,0,1,0.9,6.5
361,Jusuf Nurkić,C,28,POR,52,52,26.8,5,9.7,0.519,0.8,2.3,0.361,4.2,7.4,0.567,0.561,2.4,3.7,0.661,2.2,6.9,9.1,2.9,0.8,0.8,2.3,3.6,13.3
362,Jordan Nwora,SF,24,TOT,59,11,18.9,3,7,0.431,1.3,3.3,0.405,1.7,3.7,0.454,0.527,1.1,1.4,0.79,0.8,2.9,3.7,1.4,0.4,0.2,1,1.1,8.5
362,Jordan Nwora,SF,24,MIL,38,3,15.7,2,5.2,0.386,1.1,2.7,0.392,0.9,2.5,0.379,0.487,1,1.1,0.86,0.8,2.3,3.1,1,0.3,0.2,0.9,0.9,6
362,Jordan Nwora,SF,24,IND,21,8,24.6,4.9,10.3,0.472,1.9,4.4,0.419,3,5.9,0.512,0.563,1.3,1.8,0.711,1,3.9,4.8,2.2,0.6,0.3,1.3,1.5,12.9
363,Royce O'Neale,SF,29,BRK,73,52,31.6,3,7.7,0.388,2.1,5.4,0.393,0.9,2.3,0.376,0.526,0.7,0.9,0.731,0.7,4.3,5,3.7,0.8,0.6,1.5,3.2,8.8
364,Chuma Okeke,SF,24,ORL,24,7,17.8,1.5,4,0.365,0.9,2.8,0.313,0.6,1.2,0.483,0.474,0.7,0.9,0.762,0.9,2.5,3.4,1.1,0.5,0.4,0.5,1.5,4.5
365,Josh Okogie,SG,24,PHO,68,22,18.4,2.3,5.7,0.4,0.9,2.7,0.339,1.4,3,0.455,0.481,1.8,2.5,0.721,1.5,1.9,3.4,1.4,0.8,0.5,0.9,1.6,7.3
366,Onyeka Okongwu,C,22,ATL,76,17,23.1,4,6.1,0.647,0,0.1,0.25,3.9,6,0.654,0.649,1.9,2.5,0.779,2.7,4.5,7.2,1,0.7,1.3,1,3.2,9.9
367,Isaac Okoro,SF,22,CLE,76,46,21.7,2.3,4.7,0.494,0.8,2.3,0.363,1.5,2.4,0.617,0.582,1,1.4,0.757,0.7,1.8,2.5,1.1,0.7,0.4,0.6,2.1,6.4
368,KZ Okpala,PF,23,SAC,35,3,7.1,0.5,1.1,0.421,0.2,0.6,0.333,0.3,0.5,0.529,0.513,0.2,0.2,0.875,0.2,0.8,1,0.4,0.2,0.2,0.2,1.1,1.3
369,Victor Oladipo,SG,30,MIA,40,2,26.4,3.6,9.2,0.387,1.5,4.7,0.309,2.1,4.5,0.469,0.466,1.5,1.9,0.773,0.4,2.7,3.1,3.4,1.3,0.3,2,2.3,10
370,Kelly Olynyk,C,31,UTA,65,65,28.4,3.9,8.1,0.489,1.3,3.5,0.381,2.6,4.6,0.57,0.571,2.9,3.4,0.858,1.2,4.9,6.1,3.6,0.9,0.5,2.4,3.4,12.1
371,Eugene Omoruyi,SF,25,TOT,38,5,15.9,2.6,5.7,0.449,0.6,2.2,0.268,2,3.5,0.56,0.5,1.2,1.8,0.662,1.1,1.7,2.8,0.7,0.7,0.1,0.8,2.3,6.9
371,Eugene Omoruyi,SF,25,OKC,23,2,11.8,1.9,4.1,0.468,0.3,1.3,0.258,1.6,2.7,0.571,0.511,0.7,1.2,0.607,1,1.3,2.3,0.5,0.6,0,0.7,2,4.9
371,Eugene Omoruyi,SF,25,DET,15,3,22.2,3.5,8.1,0.434,0.9,3.4,0.275,2.6,4.7,0.549,0.492,1.9,2.7,0.7,1.3,2.3,3.5,0.9,0.7,0.2,1,2.8,9.9
372,Cedi Osman,SF,27,CLE,74,0,20.3,3.1,7,0.449,1.5,4.1,0.367,1.6,2.8,0.567,0.557,0.9,1.4,0.686,0.3,1.9,2.3,1.5,0.5,0.1,0.7,1.6,8.7
373,Kelly Oubre Jr.,SF,27,CHO,48,40,32.3,7.4,17.1,0.431,2.3,7.1,0.319,5.1,10,0.51,0.497,3.3,4.3,0.76,1.4,3.8,5.2,1.1,1.4,0.4,1.3,2.9,20.3
374,Chris Paul,PG,37,PHO,57,57,31.9,4.8,11.2,0.432,1.5,4.3,0.358,3.3,6.9,0.477,0.5,2.3,2.8,0.831,0.4,3.8,4.3,9.1,1.6,0.4,1.9,2.2,13.5
375,Cameron Payne,PG,28,PHO,46,14,20.6,4,9.5,0.416,1.5,3.9,0.372,2.5,5.6,0.446,0.492,1,1.3,0.758,0.3,2,2.3,4.5,0.7,0.2,1.7,1.8,10.4
376,Gary Payton II,PG,30,TOT,19,1,16.3,1.6,2.7,0.596,0.6,1.1,0.524,1.1,1.6,0.645,0.702,0.3,0.4,0.857,0.9,1.8,2.7,1.3,0.9,0.2,0.7,1.7,4.2
376,Gary Payton II,PG,30,POR,15,1,17,1.6,2.7,0.585,0.6,1.1,0.529,1,1.6,0.625,0.695,0.3,0.3,1,0.7,1.9,2.6,1.5,1.1,0.1,0.8,1.9,4.1
376,Gary Payton II,PG,30,GSW,4,0,13.5,1.8,2.8,0.636,0.5,1,0.5,1.3,1.8,0.714,0.727,0.5,0.8,0.667,1.8,1.5,3.3,0.8,0.5,0.5,0.3,1,4.5
377,Theo Pinson,SG,27,DAL,38,0,6.6,0.5,1.6,0.328,0.4,1.2,0.341,0.1,0.4,0.294,0.451,0.2,0.3,0.818,0.2,0.9,1.1,0.8,0.1,0,0.3,0.7,1.7
378,Scotty Pippen Jr.,PG,22,LAL,6,0,5.3,0.7,2,0.333,0.2,0.5,0.333,0.5,1.5,0.333,0.375,0.8,1.5,0.556,0.3,0.3,0.7,0.3,0.3,0.2,0.3,0.5,2.3
379,Mason Plumlee,C,32,TOT,76,60,26.3,4.2,6.2,0.676,0,0,,4.2,6.2,0.676,0.676,2.6,4.1,0.633,3,6.1,9.1,3.2,0.6,0.6,1.5,2.7,11
379,Mason Plumlee,C,32,CHO,56,56,28.5,4.7,7.1,0.669,0,0,,4.7,7.1,0.669,0.669,2.8,4.6,0.605,3.3,6.3,9.7,3.7,0.6,0.6,1.6,2.9,12.2
379,Mason Plumlee,C,32,LAC,20,4,20.1,2.7,3.8,0.711,0,0,,2.7,3.8,0.711,0.711,2,2.6,0.769,1.9,5.5,7.4,1.8,0.5,0.6,1.5,2.3,7.4
380,Jakob Poeltl,C,27,TOT,68,67,26.9,5.5,8.7,0.633,0,0,0,5.5,8.7,0.635,0.633,1.7,2.9,0.599,3.3,5.9,9.2,2.8,0.9,1.3,1.8,2.8,12.8
380,Jakob Poeltl,C,27,SAS,46,46,26.1,5.2,8.4,0.616,0,0,0,5.2,8.4,0.618,0.616,1.7,2.8,0.605,3.3,5.7,9,3.1,0.8,1.1,2.1,2.6,12.1
380,Jakob Poeltl,C,27,TOR,22,21,28.6,6.2,9.3,0.667,0,0,,6.2,9.3,0.667,0.667,1.8,3.1,0.588,3.4,6.2,9.5,2.3,1.3,1.5,1.2,3.2,14.2
381,Aleksej Pokusevski,PF,21,OKC,34,25,20.6,3.2,7.3,0.434,1.1,3.1,0.365,2.1,4.3,0.483,0.51,0.6,1,0.629,1.3,3.4,4.7,1.9,0.6,1.3,1.3,1.7,8.1
382,Jordan Poole,PG,23,GSW,79,42,30.3,6.8,15.7,0.431,2.6,7.8,0.334,4.2,7.9,0.527,0.514,4.3,4.9,0.872,0.4,2.3,2.7,4.5,0.8,0.3,3.1,2.6,20.5
383,Kevin Porter Jr.,PG,22,HOU,57,57,34.2,6.6,15,0.441,2.4,6.5,0.363,4.3,8.5,0.501,0.52,3.4,4.4,0.784,1.3,4.1,5.4,5.7,1.4,0.3,3.2,2.6,19
384,Michael Porter Jr.,SF,24,DEN,60,60,29.1,6.4,13.1,0.49,3,7.2,0.416,3.4,5.9,0.581,0.605,1.6,2,0.805,1,4.5,5.5,1,0.6,0.5,1.1,1.9,17.4
385,Otto Porter Jr.,SF,29,TOR,8,2,18.3,1.9,3.8,0.5,0.8,2.1,0.353,1.1,1.6,0.692,0.6,1,1,1,0.8,1.6,2.4,1,1.4,0,0.5,0.9,5.5
386,Bobby Portis,PF,27,MIL,67,20,25.9,5.6,11.3,0.499,1.2,3.5,0.347,4.4,7.8,0.567,0.553,1.3,1.7,0.781,2.2,7.3,9.5,1.5,0.4,0.2,1.2,1.7,13.8
387,Kristaps Porziņģis,C,27,WAS,65,65,32.6,7.8,15.7,0.498,2.1,5.5,0.385,5.7,10.2,0.559,0.565,5.4,6.4,0.851,1.8,6.6,8.4,2.7,0.9,1.5,2.1,3,23.2
388,Micah Potter,PF,24,UTA,5,0,5.4,1.2,1.6,0.75,0.4,0.6,0.667,0.8,1,0.8,0.875,0,0,,0.2,0.4,0.6,0.6,0,0,0.2,0.6,2.8
389,Dwight Powell,C,31,DAL,74,62,19.4,2.6,3.6,0.731,0,0.1,0,2.6,3.6,0.745,0.731,1.5,2.3,0.667,1.9,2.2,4.1,0.9,0.6,0.4,0.9,2.8,6.8
390,Norman Powell,SG,29,LAC,57,8,25.8,5.5,11.6,0.475,2,4.9,0.406,3.5,6.7,0.525,0.561,3.5,4.4,0.807,0.4,2.5,2.9,1.8,0.8,0.3,1.7,2,16.5
391,Jason Preston,PG,23,LAC,13,0,9.4,1.4,3.2,0.439,0.4,1.4,0.278,1,1.8,0.565,0.5,0,0.2,0,0.2,1.5,1.7,2.1,0.2,0,0.8,0.5,3.2
392,Joshua Primo,SG,20,SAS,4,0,23.3,2.3,6.5,0.346,0.8,3,0.25,1.5,3.5,0.429,0.404,1.8,2.3,0.778,0.5,2.8,3.3,4.5,0.3,0.5,2.8,2,7
393,Taurean Prince,SF,28,MIN,51,4,21.7,3.2,6.8,0.468,1.3,3.5,0.38,1.9,3.3,0.562,0.566,1.2,1.4,0.855,0.3,2.1,2.4,1.6,0.5,0.3,1.3,2.3,8.9
394,Payton Pritchard,PG,25,BOS,46,2,12.5,1.8,4.6,0.39,0.9,2.8,0.331,0.8,1.7,0.488,0.493,0.2,0.3,0.733,0.5,1,1.5,1,0.3,0,0.7,0.8,4.7
395,Trevelin Queen,SG,25,IND,7,0,10,1,4.1,0.241,0.3,2.1,0.133,0.7,2,0.357,0.276,0.7,0.7,1,1.1,1.3,2.4,0.9,0.3,0.7,1,0.6,3
396,Neemias Queta,C,23,SAC,4,0,6.3,1.5,2,0.75,0,0,,1.5,2,0.75,0.75,0,0.5,0,1,1.3,2.3,0.3,0,0.3,0.3,1.8,3
